From,To,Year of order,Duration,Quantity,Weapon description
Australia,Kuwait,1992.0,1,2.0,patrol craft
Sweden,Kuwait,1980.0,2,8.0,fire control radar
Australia,Kuwait,1991.0,1,2.0,patrol craft
Yugoslavia,Kuwait,1989.0,2,185.0,tank
United Kingdom,Kuwait,1988.0,1,2.0,APC
United Kingdom,Kuwait,1953.0,1,3.0,light aircraft
United Kingdom,Kuwait,1961.0,1,6.0,trainer aircraft
United Kingdom,Kuwait,1968.0,1,6.0,trainer/combat aircraft
Germany,Kuwait,1980.0,2,6.0,FAC
Germany,Kuwait,1980.0,2,2.0,FAC
Singapore,Kuwait,1978.0,1,3.0,landing craft
France,Kuwait,1974.0,2,20.0,FGA aircraft
United States,Kuwait,1974.0,2,36.0,FGA aircraft
United States,Kuwait,2013.0,1,1.0,heavy transport aircraft
Norway,Kuwait,2008.0,1,20.0,APC turret
Germany,Kuwait,2015.0,1,12.0,APC
France,Kuwait,1983.0,1,6.0,anti-ship helicopter
France,Kuwait,1982.0,1,10.0,self-propelled gun
United Kingdom,Kuwait,1993.0,3,254.0,IFV
United States,Kuwait,2009.0,1,3.0,tanker/transport aircraft
Turkiye,Kuwait,2023.0,1,0.0,armed UAV
United States,Kuwait,2007.0,2,20.0,IFV
United States,Kuwait,2021.0,1,0.0,combat helicopter
United States,Kuwait,1988.0,3,40.0,FGA aircraft
United Kingdom,Kuwait,1980.0,2,2.0,air/sea search radar
United States,Kuwait,1988.0,1,1.0,air search radar
United States,Kuwait,2014.0,1,1.0,BVRAAM
United States,Kuwait,2022.0,1,0.0,air search radar
Kazakhstan,Kyrgyzstan,2003.0,1,2.0,transport helicopter
Russia,Kyrgyzstan,2018.0,1,9.0,reconnaissance AV
Russia,Laos,2017.0,1,4.0,trainer/combat aircraft
Soviet Union,Laos,1976.0,2,6.0,transport aircraft
Soviet Union,Laos,1962.0,1,3.0,light transport aircraft
Soviet Union,Laos,1962.0,1,1.0,helicopter
Soviet Union,Laos,1962.0,1,3.0,transport aircraft
China,Laos,2010.0,1,2.0,transport aircraft
Soviet Union,Laos,1978.0,1,3.0,transport aircraft
Ukraine,Laos,1998.0,1,1.0,transport aircraft
United States,Latvia,2023.0,1,0.0,guided rocket
Germany,Latvia,2023.0,1,0.0,SAM system
Norway,Latvia,2002.0,1,1.0,minelayer
United States,Latvia,2001.0,1,1.0,air search radar
Germany,Latvia,1993.0,1,2.0,minesweeper
Germany,Latvia,1992.0,1,1.0,patrol craft
Netherlands,Latvia,2004.0,1,1.0,survey ship
Poland,Latvia,2003.0,1,5.0,armoured bridgelayer
Germany,Latvia,1999.0,1,1.0,minesweeper
Czechia,Latvia,1994.0,1,26.0,towed gun
Norway,Latvia,1994.0,1,1.0,patrol craft
Sweden,Latvia,1993.0,1,13.0,APC
Netherlands,Latvia,2005.0,3,5.0,MCM ship
Czechia,Latvia,1995.0,1,26.0,mortar
Italy,Latvia,2006.0,1,2.0,light helicopter
United States,Latvia,2010.0,1,8.0,APC
United States,Latvia,2010.0,1,40.0,APV
Norway,Latvia,2001.0,1,3.0,patrol craft
United States,Latvia,2015.0,1,4.0,air search radar
Germany,Latvia,2023.0,1,0.0,SAM
United States,Latvia,2023.0,1,0.0,light helicopter
Norway,Latvia,2023.0,1,0.0,anti-ship missile
Poland,Latvia,2022.0,1,0.0,portable SAM
United States,Latvia,2023.0,1,0.0,self-propelled MRL
United States,Latvia,2019.0,1,2.0,transport helicopter
United States,Lebanon,2021.0,1,3.0,patrol craft
United States,Lebanon,1999.0,1,1.0,APC
United Kingdom,Lebanon,1953.0,2,6.0,fighter aircraft
United Kingdom,Lebanon,1975.0,1,6.0,trainer aircraft
United Kingdom,Lebanon,1954.0,1,11.0,trainer aircraft
France,Lebanon,1972.0,2,7.0,light helicopter
United States,Lebanon,1982.0,1,12.0,towed gun
France,Lebanon,1979.0,1,4.0,light helicopter
Italy,Lebanon,1979.0,1,6.0,helicopter
United Kingdom,Lebanon,1975.0,2,6.0,FGA aircraft
France,Lebanon,2011.0,1,8.0,APC
United States,Lebanon,2010.0,1,1.0,patrol craft
Germany,Lebanon,2008.0,1,1.0,patrol craft
Brazil,Lebanon,2015.0,2,6.0,trainer/combat aircraft
France,Lebanon,2009.0,1,1.0,patrol craft
Germany,Lebanon,2007.0,1,1.0,patrol craft
Belgium,Lebanon,2007.0,1,12.0,APC
United States,Lebanon,1996.0,1,80.0,APC
United States,Lebanon,1995.0,1,25.0,APC
United States,Lebanon,1994.0,1,16.0,helicopter
United States,Lebanon,2015.0,1,1.0,light transport aircraft
United States,Lebanon,2017.0,1,2.0,ARV
United States,Lebanon,2016.0,1,10.0,ALV
United States,Lebanon,2017.0,1,28.0,ALV
France,Lebanon,1981.0,1,5.0,APC
United States,Lebanon,2012.0,1,6.0,helicopter
France,Lebanon,2014.0,1,48.0,anti-tank missile
United States,Lebanon,2014.0,1,72.0,towed gun
United States,Lebanon,2015.0,1,40.0,towed gun
Belgium,Lebanon,2007.0,2,22.0,IFV
United States,Lebanon,2017.0,1,6.0,UAV
UAE,Lebanon,2009.0,1,10.0,helicopter
United States,Lebanon,1994.0,1,175.0,APC
United States,Lebanon,1995.0,1,225.0,APC
United Kingdom,Lebanon,1952.0,1,6.0,trainer aircraft
United States,Lebanon,2012.0,1,200.0,APC
United States,Lebanon,1979.0,1,26.0,APC
Spain,Lesotho,1990.0,1,1.0,transport aircraft
Germany,Lesotho,1980.0,1,1.0,light transport aircraft
Germany,Lesotho,1980.0,1,1.0,light transport aircraft
France,Lesotho,2019.0,1,1.0,light helicopter
United Kingdom,Lesotho,1978.0,1,2.0,light transport aircraft
United States,Lesotho,1998.0,1,1.0,helicopter
Zambia,Liberia,1989.0,1,1.0,transport aircraft
United States,Liberia,1975.0,1,2.0,transport aircraft
United States,Liberia,1975.0,1,1.0,light aircraft
UAE,Liberia,1989.0,1,1.0,transport aircraft
Germany,Libya,1977.0,3,40.0,ship engine
Soviet Union,Libya,1978.0,5,181.0,turbofan
United Kingdom,Libya,1967.0,2,4.0,patrol craft
United Kingdom,Libya,1964.0,1,1.0,patrol craft
United Kingdom,Libya,1968.0,1,1.0,frigate
United Kingdom,Libya,1966.0,1,3.0,FAC
United Kingdom,Libya,1966.0,1,2.0,patrol craft
Soviet Union,Libya,1984.0,2,2.0,minesweeper
United Kingdom,Libya,1967.0,1,1.0,support ship
Soviet Union,Libya,1980.0,4,4.0,corvette
Soviet Union,Libya,1975.0,5,12.0,FAC
Italy,Libya,1974.0,3,4.0,corvette
Italy,Libya,1978.0,1,1.0,helicopter
Czechoslovakia,Libya,1978.0,5,181.0,trainer/combat aircraft
United States,Libya,1978.0,1,1.0,light transport aircraft
Italy,Libya,2009.0,2,6.0,patrol craft
Soviet Union,Libya,1978.0,2,3.0,submarine
Soviet Union,Libya,1975.0,2,3.0,submarine
Egypt,Libya,1959.0,1,2.0,trainer aircraft
United States,Libya,1963.0,1,2.0,trainer aircraft
United States,Libya,1963.0,1,1.0,transport aircraft
Sudan,Libya,2013.0,1,3.0,combat helicopter
Soviet Union,Libya,1978.0,1,250.0,tank
Austria,Libya,2009.0,1,4.0,UAV
France,Libya,1977.0,3,10.0,FAC
Belarus,Libya HoR*,2014.0,1,4.0,combat helicopter
Netherlands,Libya HoR*,2017.0,1,1.0,OPV
United States,Lithuania,2023.0,1,0.0,air search radar
United States,Lithuania,2022.0,1,0.0,loitering munition
Germany,Lithuania,1998.0,1,3.0,transport helicopter
Germany,Lithuania,2000.0,1,49.0,APC
United States,Lithuania,2006.0,3,6.0,aircraft engine
Germany,Lithuania,2002.0,1,3.0,air search radar
Czechia,Lithuania,1998.0,1,2.0,trainer/combat aircraft
Poland,Lithuania,1996.0,1,3.0,air search radar
Poland,Lithuania,1996.0,1,2.0,air search radar
Poland,Lithuania,1996.0,1,2.0,height-finding radar
Czechia,Lithuania,1995.0,1,18.0,mortar
Russia,Lithuania,1992.0,1,1.0,survey ship
France,Lithuania,2013.0,1,3.0,helicopter
Denmark,Lithuania,2001.0,1,54.0,towed gun
Germany,Lithuania,1999.0,2,2.0,minesweeper
Poland,Lithuania,1996.0,1,5.0,light helicopter
Norway,Lithuania,1994.0,1,1.0,patrol craft
Sweden,Lithuania,1993.0,1,13.0,APC
United States,Lithuania,2020.0,1,0.0,transport helicopter
United States,Lithuania,2019.0,3,200.0,APV
Italy,Lithuania,2006.0,3,3.0,transport aircraft
United Kingdom,Lithuania,2020.0,1,0.0,MCM ship
Denmark,Lithuania,2007.0,3,3.0,patrol craft
Denmark,Lithuania,2015.0,1,1.0,patrol craft
Germany,Lithuania,1993.0,1,2.0,light transport aircraft
United Kingdom,Lithuania,2008.0,1,2.0,MCM ship
United States,Lithuania,2002.0,1,54.0,portable SAM
Russia,Lithuania,1992.0,1,2.0,corvette
Russia,Lithuania,1993.0,1,4.0,trainer aircraft
United States,Lithuania,2022.0,1,0.0,APV
United States,Lithuania,2022.0,1,0.0,self-propelled MRL
Germany,Lithuania,2022.0,1,10.0,self-propelled mortar
Germany,Lithuania,2015.0,1,22.0,APC
France,Lithuania,2022.0,1,0.0,self-propelled gun
Switzerland,Luxembourg,2022.0,1,0.0,APV
United States,Luxembourg,1996.0,1,24.0,APV
France,Luxembourg,2022.0,1,0.0,anti-tank missile
Spain,Luxembourg,2003.0,1,1.0,transport aircraft
Germany,Luxembourg,2018.0,2,2.0,light helicopter
Germany,Luxembourg,2003.0,1,4.0,turboprop
France,Madagascar,1996.0,1,1.0,cargo craft
France,Madagascar,1968.0,1,1.0,light helicopter
Germany,Malawi,1989.0,1,1.0,light transport aircraft
Germany,Malawi,1979.0,1,4.0,light transport aircraft
France,Malawi,1984.0,1,1.0,helicopter
Germany,Malawi,1985.0,2,3.0,light transport aircraft
Turkiye,Malaysia,2023.0,1,0.0,anti-tank missile
UAE,Malaysia,2017.0,1,9.0,APC
Germany,Malaysia,1997.0,1,8.0,ship engine
Germany,Malaysia,1995.0,1,8.0,ship engine
Canada,Malaysia,2023.0,1,0.0,aircraft engine
South Korea,Malaysia,2011.0,2,2.0,OPV/training ship
United States,Malaysia,2000.0,3,12.0,ship engine
United States,Malaysia,2021.0,1,0.0,air search radar
Sweden,Malaysia,2013.0,1,0.0,naval gun
United States,Malaysia,1995.0,1,5.0,transport aircraft
France,Malaysia,2002.0,1,1.0,submarine
France,Malaysia,2018.0,2,18.0,towed gun
Netherlands,Malaysia,2014.0,1,0.0,air search radar
South Korea,Malaysia,2023.0,1,0.0,FGA aircraft
France,Malaysia,1970.0,2,4.0,FAC
United States,Malaysia,2016.0,1,6.0,combat helicopter
Australia,Malaysia,1969.0,1,10.0,fighter aircraft
United States,Malaysia,1974.0,1,12.0,light transport aircraft
China,Malaysia,2017.0,3,4.0,OPV
United States,Malaysia,1979.0,1,3.0,transport aircraft
Singapore,Malaysia,1978.0,1,7.0,light helicopter
United States,Malaysia,1999.0,2,12.0,aircraft engine
United States,Malaysia,1995.0,1,12.0,aircraft engine
Canada,Malaysia,2006.0,1,10.0,aircraft engine
Switzerland,Malaysia,2006.0,1,10.0,trainer aircraft
Germany,Malaysia,1997.0,1,2.0,ASW sonar
Germany,Malaysia,1995.0,1,2.0,ASW sonar
Germany,Malaysia,1992.0,1,8.0,ship engine
Brazil,Malaysia,2007.0,1,18.0,self-propelled MRL
United States,Malaysia,1990.0,2,18.0,combat aircraft radar
United Kingdom,Malaysia,1958.0,1,1.0,light transport aircraft
Italy,Malaysia,2001.0,1,1.0,air search radar
Sweden,Malaysia,1999.0,1,2.0,artillery locating radar
Italy,Malaysia,2006.0,1,8.0,trainer/combat aircraft
Italy,Malaysia,1997.0,1,2.0,corvette
Italy,Malaysia,1995.0,1,2.0,corvette
United States,Malaysia,1994.0,1,1.0,landing ship
United Kingdom,Malaysia,1993.0,1,3.0,towed gun
South Korea,Malaysia,1994.0,1,22.0,APC
United States,Malaysia,1994.0,1,25.0,anti-ship missile
Netherlands,Malaysia,1966.0,1,1.0,air search radar
United Kingdom,Malaysia,1965.0,1,1.0,landing ship
Netherlands,Malaysia,1966.0,1,1.0,fire control radar
Netherlands,Malaysia,1981.0,1,2.0,fire control radar
Netherlands,Malaysia,1992.0,1,2.0,air search radar
Netherlands,Malaysia,1981.0,1,2.0,air search radar
Sweden,Malaysia,1992.0,1,2.0,air search radar
United Kingdom,Malaysia,1988.0,1,6.0,ASW helicopter
United Kingdom,Malaysia,1988.0,1,9.0,towed gun
United Kingdom,Malaysia,1987.0,1,6.0,ASW helicopter
United States,Malaysia,1982.0,1,1.0,air search radar
United States,Malaysia,1985.0,1,2.0,maritime patrol aircraft
United Kingdom,Malaysia,1966.0,1,1.0,frigate
United States,Malaysia,1980.0,1,1.0,FGA aircraft
United States,Malaysia,1974.0,1,2.0,landing ship
Germany,Malaysia,1981.0,1,1.0,support ship
United Kingdom,Malaysia,1971.0,1,15.0,trainer aircraft
New Zealand,Malaysia,1964.0,1,2.0,light transport aircraft
United States,Malaysia,1972.0,1,2.0,FGA aircraft
United States,Malaysia,1971.0,1,6.0,transport helicopter
United Kingdom,Malaysia,1958.0,1,3.0,light transport aircraft
United States,Malaysia,1967.0,1,10.0,transport helicopter
France,Malaysia,1968.0,1,5.0,light helicopter
United Kingdom,Malaysia,1982.0,1,26.0,light tank
Italy,Malaysia,1981.0,1,4.0,MCM ship
Germany,Malaysia,1981.0,1,2.0,frigate
Germany,Malaysia,1979.0,1,1.0,support ship
United States,Malaysia,1975.0,1,5.0,light helicopter
Sweden,Malaysia,1976.0,1,4.0,FAC
Netherlands,Malaysia,2009.0,2,2.0,EO search/fire control
Turkiye,Malaysia,2008.0,1,20.0,APC
Turkiye,Malaysia,2008.0,1,28.0,IFV
United States,Malaysia,1981.0,1,4.0,naval gun
United Kingdom,Malaysia,1963.0,1,4.0,patrol craft
United Kingdom,Malaysia,1965.0,3,14.0,patrol craft
United Kingdom,Malaysia,1961.0,2,6.0,patrol craft
Germany,Malaysia,2002.0,1,8.0,ship engine
United Kingdom,Malaysia,1964.0,1,4.0,FAC
Switzerland,Malaysia,2007.0,1,3.0,fire control radar
France,Malaysia,2008.0,1,1.0,air search radar
Turkiye,Malaysia,2023.0,1,0.0,UAV
Indonesia,Malaysia,1995.0,1,6.0,transport aircraft
Spain,Malaysia,2005.0,3,4.0,transport aircraft
Netherlands,Malaysia,1983.0,2,2.0,air search radar
Russia,Malaysia,1994.0,1,18.0,FGA aircraft
Israel,Malaysia,2023.0,1,0.0,combat aircraft radar
United States,Malaysia,1991.0,1,4.0,maritime patrol aircraft
Germany,Malaysia,1973.0,2,6.0,patrol craft
United Kingdom,Malaysia,1990.0,2,18.0,FGA aircraft
United Kingdom,Malaysia,1990.0,1,10.0,trainer/combat aircraft
Canada,Malaysia,1965.0,1,4.0,transport aircraft
United Kingdom,Malaysia,2006.0,1,8.0,turbojet
Poland,Malaysia,2003.0,1,3.0,AEV
Russia,Malaysia,2003.0,3,18.0,FGA aircraft
Poland,Malaysia,2003.0,4,48.0,tank
South Korea,Malaysia,1995.0,1,47.0,APC
United States,Malaysia,1993.0,1,8.0,FGA aircraft
United Kingdom,Malaysia,1992.0,1,2.0,frigate
Sweden,Malaysia,1981.0,1,2.0,naval gun
Sweden,Malaysia,1979.0,1,1.0,naval gun
United Kingdom,Malaysia,1982.0,1,13.0,APC
United States,Malaysia,1974.0,1,6.0,transport aircraft
France,Malaysia,2014.0,1,0.0,frigate
Spain,Malaysia,2002.0,1,1.0,submarine
Germany,Malaysia,1970.0,2,16.0,ship engine
United States,Malaysia,2015.0,1,10.0,BVRAAM
United States,Malaysia,1980.0,1,2.0,FGA aircraft
Germany,Malaysia,1999.0,3,6.0,OPV
Italy,Malaysia,2023.0,1,0.0,ASW aircraft
United Kingdom,Malaysia,1982.0,1,12.0,IFV
United Kingdom,Malaysia,1999.0,2,6.0,ASW Helicopter
United States,Malaysia,2023.0,1,0.0,transport helicopter
India,Maldives,2009.0,1,1.0,helicopter
India,Maldives,2018.0,1,1.0,helicopter
India,Maldives,2006.0,1,1.0,patrol craft
Sri Lanka,Maldives,1997.0,1,2.0,patrol craft
India,Maldives,2020.0,1,1.0,maritime patrol aircraft
Russia,Mali,2020.0,1,4.0,transport helicopter
France,Mali,2019.0,1,13.0,APC/APV
Spain,Mali,2020.0,1,1.0,transport aircraft
Russia,Mali,2020.0,1,1.0,ground attack aircraft
Russia,Mali,2016.0,3,4.0,combat helicopter
Czechia,Mali,2005.0,1,3.0,fighter aircraft
France,Mali,1961.0,1,2.0,transport aircraft
France,Mali,1961.0,1,2.0,light aircraft
Brazil,Mali,2015.0,1,4.0,trainer/combat aircraft
France,Mali,2016.0,2,2.0,transport helicopter
Libya,Mali,2010.0,1,2.0,trainer aircraft
Qatar,Mali,2018.0,1,24.0,APC
Canada,Mali,2020.0,1,2.0,aircraft engine
Canada,Mali,2016.0,1,2.0,aircraft engine
Spain,Mali,2016.0,1,1.0,transport aircraft
Bulgaria,Mali,2008.0,1,2.0,combat helicopter
UAE,Mali,2019.0,1,30.0,APV
United States,Malta,2001.0,2,2.0,patrol craft
United Kingdom,Malta,2001.0,1,1.0,trainer aircraft
United Kingdom,Malta,1998.0,1,1.0,light transport aircraft
Germany,Malta,1997.0,1,1.0,minesweeper
Malaysia,Malta,1994.0,1,1.0,light transport aircraft
Italy,Malta,1991.0,1,5.0,light aircraft
Germany,Malta,1992.0,1,2.0,minesweeper
Italy,Malta,2013.0,1,1.0,helicopter
Italy,Malta,2004.0,1,1.0,patrol craft
Germany,Malta,1972.0,1,3.0,light helicopter
Germany,Malta,1972.0,1,1.0,light helicopter
Libya,Malta,1973.0,1,1.0,light helicopter
Ireland,Malta,2015.0,1,1.0,OPV
Italy,Malta,2018.0,1,1.0,OPV
United States,Malta,2009.0,1,1.0,maritime patrol aircraft
United States,Malta,2015.0,1,1.0,maritime patrol aircraft
Italy,Malta,2014.0,1,1.0,helicopter
Italy,Malta,2015.0,1,1.0,helicopter
Italy,Malta,1992.0,1,2.0,light helicopter
Australia,Marshall Islands,1989.0,1,1.0,patrol craft
United States,Marshall Islands,1987.0,1,1.0,patrol craft
Australia,Marshall Islands,2014.0,1,0.0,patrol craft
France,Mauritania,2019.0,1,7.0,APC/APV
Germany,Mauritania,1998.0,1,1.0,OPV
Spain,Mauritania,1979.0,1,1.0,patrol craft
Niger,Mauritania,1973.0,1,2.0,light aircraft
United Kingdom,Mauritania,1989.0,1,1.0,OPV
Germany,Mauritania,1990.0,1,1.0,patrol craft
France,Mauritania,1982.0,1,1.0,patrol craft
Spain,Mauritania,1976.0,1,2.0,patrol craft
Canada,Mauritania,1977.0,2,2.0,transport aircraft
Italy,Mauritania,2013.0,1,2.0,light helicopter
France,Mauritania,1992.0,1,1.0,patrol craft
Switzerland,Mauritania,2011.0,1,1.0,light transport aircraft
France,Mauritania,1971.0,1,1.0,transport aircraft
China,Mauritania,2016.0,1,1.0,landing ship
Spain,Mauritania,2010.0,1,1.0,maritime patrol aircraft
United States,Mauritania,2014.0,1,2.0,light transport aircraft
India,Mauritius,1989.0,1,1.0,maritime patrol aircraft
India,Mauritius,2014.0,1,1.0,maritime patrol aircraft
India,Mauritius,2011.0,1,1.0,OPV
India,Mauritius,2021.0,1,1.0,helicopter
India,Mauritius,2021.0,1,1.0,light transport aircraft
India,Mauritius,1993.0,1,1.0,patrol craft
United Kingdom,Mauritius,1992.0,1,1.0,maritime patrol aircraft
United Kingdom,Mauritius,1970.0,1,4.0,APV
Israel,Mauritius,2004.0,1,1.0,MP aircraft radar
Israel,Mauritius,2014.0,1,1.0,MP aircraft radar
India,Mauritius,2014.0,2,2.0,patrol craft
India,Mauritius,2021.0,1,1.0,light transport aircraft
Chile,Mauritius,1994.0,1,1.0,OPV
China,Mexico,2006.0,1,13.0,towed gun
Switzerland,Mexico,2006.0,1,2.0,trainer aircraft
United States,Mexico,2010.0,3,6.0,MP aircraft radar
United States,Mexico,2003.0,1,4.0,air search radar
United States,Mexico,1982.0,1,1.0,patrol craft
United States,Mexico,2008.0,1,4.0,aircraft engine
United States,Mexico,2008.0,1,2.0,MP aircraft radar
Sweden,Mexico,2014.0,4,4.0,naval gun
United States,Mexico,1963.0,1,1.0,tug
United States,Mexico,2001.0,1,6.0,turbofan
United States,Mexico,1978.0,1,4.0,tug
Israel,Mexico,2004.0,1,4.0,transport helicopter
France,Mexico,2003.0,1,2.0,helicopter
Russia,Mexico,2002.0,1,30.0,portable SAM
Israel,Mexico,2002.0,1,3.0,AEW&C aircraft
Sweden,Mexico,2001.0,1,1.0,AEW radar
United States,Mexico,2000.0,1,1.0,light helicopter
United States,Mexico,2000.0,1,2.0,light helicopter
Canada,Mexico,2000.0,1,1.0,transport aircraft
Russia,Mexico,2000.0,1,1.0,transport helicopter
Brazil,Mexico,2001.0,1,2.0,maritime patrol aircraft
Russia,Mexico,1999.0,1,1.0,transport helicopter
United States,Mexico,1999.0,1,1.0,support ship
United States,Mexico,1996.0,1,1.0,support ship
United States,Mexico,1996.0,1,1.0,support craft
United States,Mexico,1998.0,1,1.0,frigate
United States,Mexico,1994.0,1,12.0,light helicopter
United States,Mexico,2001.0,1,2.0,MP aircraft radar
United States,Mexico,1996.0,1,2.0,frigate
Switzerland,Mexico,1985.0,1,7.0,light transport aircraft
United States,Mexico,2000.0,2,2.0,landing ship
France,Mexico,1985.0,1,2.0,APC
France,Mexico,1986.0,1,37.0,APC
United States,Mexico,1993.0,1,2.0,frigate
United States,Mexico,1991.0,1,2.0,transport helicopter
France,Mexico,1981.0,1,20.0,trainer aircraft
United States,Mexico,1992.0,1,10.0,light helicopter
United States,Mexico,1990.0,2,3.0,patrol craft
United States,Mexico,1990.0,1,4.0,light helicopter
United States,Mexico,1988.0,1,1.0,air search radar
France,Mexico,1985.0,1,80.0,armoured car
Germany,Mexico,1986.0,1,6.0,light helicopter
United States,Mexico,1962.0,1,15.0,OPV
United States,Mexico,1971.0,3,3.0,landing ship
United States,Mexico,1969.0,1,2.0,frigate/landing ship
United States,Mexico,1985.0,1,21.0,light aircraft
United States,Mexico,1974.0,2,20.0,light aircraft
United Kingdom,Mexico,1962.0,1,2.0,trainer aircraft
Netherlands,Mexico,1972.0,1,3.0,trainer aircraft
United States,Mexico,1962.0,1,4.0,light helicopter
United States,Mexico,1961.0,1,15.0,trainer aircraft
United States,Mexico,1965.0,1,5.0,transport aircraft
United States,Mexico,1969.0,1,20.0,light aircraft
United States,Mexico,1981.0,1,12.0,FGA aircraft
United States,Mexico,1982.0,1,2.0,destroyer
United States,Mexico,1966.0,1,4.0,transport aircraft
Russia,Mexico,2011.0,1,3.0,transport helicopter
Czechia,Mexico,2001.0,1,10.0,trainer aircraft
United States,Mexico,2000.0,1,1.0,light helicopter
France,Mexico,2011.0,1,3.0,transport helicopter
Russia,Mexico,2009.0,1,1.0,transport helicopter
Italy,Mexico,1994.0,1,1.0,naval gun
Spain,Mexico,2011.0,1,1.0,transport aircraft
Spain,Mexico,2010.0,1,2.0,transport aircraft
Canada,Mexico,2008.0,1,4.0,aircraft engine
United States,Mexico,2009.0,1,5.0,helicopter
France,Mexico,2009.0,2,6.0,transport helicopter
Israel,Mexico,2008.0,1,2.0,UAV
Spain,Mexico,2008.0,1,2.0,transport aircraft
Spain,Mexico,2008.0,1,2.0,maritime patrol aircraft
United States,Mexico,1996.0,1,4.0,transport aircraft
Netherlands,Mexico,2011.0,1,2.0,patrol craft
United States,Mexico,2010.0,1,3.0,transport helicopter
Netherlands,Mexico,2013.0,2,3.0,patrol craft
United States,Mexico,2014.0,1,2.0,trainer aircraft
United States,Mexico,2015.0,2,3.0,transport aircraft
Spain,Mexico,2014.0,1,2.0,transport aircraft
United Kingdom,Mexico,1973.0,7,31.0,patrol craft
United States,Mexico,2008.0,1,1.0,light transport aircraft
United States,Mexico,1973.0,1,1.0,light transport aircraft
Canada,Mexico,2006.0,1,2.0,aircraft engine
United States,Mexico,2014.0,1,2.0,light transport aircraft
Canada,Mexico,2010.0,1,4.0,aircraft engine
Spain,Mexico,2009.0,2,5.0,transport aircraft
Canada,Mexico,2014.0,1,1.0,light transport aircraft
Netherlands,Mexico,2014.0,1,1.0,transport ship
Germany,Mexico,2014.0,1,25.0,trainer aircraft
Colombia,Mexico,2002.0,1,2.0,transport helicopter
Russia,Mexico,1997.0,1,8.0,transport helicopter
France,Mexico,2014.0,2,10.0,helicopter
Sweden,Mexico,1998.0,4,8.0,naval gun
United States,Mexico,2010.0,1,3.0,transport helicopter
Canada,Mexico,2011.0,1,2.0,aircraft engine
United States,Mexico,1996.0,1,53.0,helicopter
France,Mexico,1981.0,1,2.0,APC
France,Mexico,1986.0,1,5.0,APC
France,Mexico,1985.0,1,2.0,APC
United States,Mexico,2008.0,1,4.0,aircraft engine
Netherlands,Mexico,2014.0,3,5.0,patrol craft
Brazil,Mexico,2001.0,1,1.0,AEW&C aircraft
Israel,Mexico,2003.0,1,2.0,FAC
Spain,Mexico,1980.0,2,6.0,OPV
Canada,Mexico,2009.0,2,10.0,aircraft engine
Australia,Micronesia,2014.0,2,2.0,patrol craft
Australia,Micronesia,1997.0,1,1.0,patrol craft
Australia,Micronesia,1989.0,1,2.0,patrol craft
United States,Micronesia,1989.0,2,2.0,patrol craft
France,Moldova,2023.0,1,1.0,air search radar
Germany,Moldova,2022.0,1,19.0,APC
Russia,Mongolia,2007.0,1,2.0,transport helicopter
Russia,Mongolia,2009.0,1,20.0,APC
Israel,Montenegro,2023.0,1,0.0,mortar
United States,Montenegro,2020.0,2,2.0,light helicopter
United States,Montenegro,2018.0,1,3.0,helicopter
Germany,Montenegro,2021.0,1,0.0,APC
France,Morocco,2008.0,1,1.0,OPV
France,Morocco,2008.0,2,6.0,ship engine
Sweden,Morocco,1977.0,1,1.0,ASW MRL
United States,Morocco,1977.0,1,1.0,ASW sonar
France,Morocco,1997.0,1,52.0,anti-tank missile
United States,Morocco,1996.0,1,60.0,self-propelled gun
United States,Morocco,1997.0,1,2.0,AA gun
France,Morocco,1995.0,1,1.0,support ship
France,Morocco,1996.0,1,1.0,OPV
France,Morocco,1994.0,2,2.0,OPV
United States,Morocco,1993.0,1,120.0,tank
United States,Morocco,1994.0,1,120.0,tank
France,Morocco,1993.0,2,2.0,OPV
Netherlands,Morocco,1977.0,1,1.0,air search radar
United States,Morocco,1991.0,1,60.0,tank
Denmark,Morocco,1989.0,1,2.0,patrol craft
Spain,Morocco,1985.0,2,6.0,patrol craft
France,Morocco,1963.0,1,1.0,landing craft
France,Morocco,1964.0,1,1.0,patrol craft
United States,Morocco,1963.0,1,1.0,patrol craft
Italy,Morocco,1981.0,1,3.0,transport helicopter
France,Morocco,1956.0,1,6.0,light aircraft
Spain,Morocco,1977.0,2,4.0,FAC
France,Morocco,1975.0,2,3.0,landing ship
Spain,Morocco,1977.0,1,1.0,frigate
France,Morocco,1973.0,2,2.0,patrol craft
United States,Morocco,1975.0,1,12.0,trainer aircraft
Switzerland,Morocco,1977.0,1,10.0,trainer aircraft
France,Morocco,1977.0,1,5.0,FGA aircraft
Netherlands,Morocco,2008.0,1,1.0,frigate
United States,Morocco,2008.0,1,1.0,gas turbine
Spain,Morocco,1989.0,1,7.0,transport aircraft
United States,Morocco,1980.0,1,2.0,tanker/transport aircraft
United States,Morocco,1980.0,1,5.0,transport aircraft
France,Morocco,2008.0,2,3.0,ASW sonar
Italy,Morocco,2008.0,1,1.0,fire control radar
Netherlands,Morocco,2008.0,2,2.0,frigate
United States,Morocco,2009.0,2,24.0,trainer aircraft
United States,Morocco,1994.0,1,1.0,landing ship
United States,Morocco,1971.0,1,1.0,transport aircraft
France,Morocco,1956.0,1,1.0,light helicopter
France,Morocco,1956.0,1,1.0,light transport aircraft
France,Morocco,1956.0,1,1.0,light aircraft
