From,To,Year of order,Duration,Quantity,Weapon description,Weight
Sudan,Libya,2013.0,1,3.0,combat helicopter,5.0
Soviet Union,Libya,1978.0,1,250.0,tank,8.0
Austria,Libya,2009.0,1,4.0,UAV,3.0
France,Libya,1977.0,3,10.0,FAC,3.0
Belarus,Libya HoR*,2014.0,1,4.0,combat helicopter,5.0
Netherlands,Libya HoR*,2017.0,1,1.0,OPV,2.0
United States,Lithuania,2023.0,1,0.0,air search radar,3.0
United States,Lithuania,2022.0,1,0.0,loitering munition,5.0
Germany,Lithuania,1998.0,1,3.0,transport helicopter,3.0
Germany,Lithuania,2000.0,1,49.0,APC,3.0
United States,Lithuania,2006.0,3,6.0,aircraft engine,2.0
Germany,Lithuania,2002.0,1,3.0,air search radar,3.0
Czechia,Lithuania,1998.0,1,2.0,trainer/combat aircraft,5.0
Poland,Lithuania,1996.0,1,3.0,air search radar,3.0
Poland,Lithuania,1996.0,1,2.0,air search radar,3.0
Poland,Lithuania,1996.0,1,2.0,height-finding radar,3.0
Czechia,Lithuania,1995.0,1,18.0,mortar,2.0
Russia,Lithuania,1992.0,1,1.0,survey ship,1.0
France,Lithuania,2013.0,1,3.0,helicopter,3.0
Denmark,Lithuania,2001.0,1,54.0,towed gun,3.0
Germany,Lithuania,1999.0,2,2.0,minesweeper,2.0
Poland,Lithuania,1996.0,1,5.0,light helicopter,2.0
Norway,Lithuania,1994.0,1,1.0,patrol craft,2.0
Sweden,Lithuania,1993.0,1,13.0,APC,3.0
United States,Lithuania,2020.0,1,0.0,transport helicopter,3.0
United States,Lithuania,2019.0,3,200.0,APV,3.0
Italy,Lithuania,2006.0,3,3.0,transport aircraft,3.0
United Kingdom,Lithuania,2020.0,1,0.0,MCM ship,3.0
Denmark,Lithuania,2007.0,3,3.0,patrol craft,2.0
Denmark,Lithuania,2015.0,1,1.0,patrol craft,2.0
Germany,Lithuania,1993.0,1,2.0,light transport aircraft,2.0
United Kingdom,Lithuania,2008.0,1,2.0,MCM ship,3.0
United States,Lithuania,2002.0,1,54.0,portable SAM,3.0
Russia,Lithuania,1992.0,1,2.0,corvette,5.0
Russia,Lithuania,1993.0,1,4.0,trainer aircraft,2.0
United States,Lithuania,2022.0,1,0.0,APV,3.0
United States,Lithuania,2022.0,1,0.0,self-propelled MRL,5.0
Germany,Lithuania,2022.0,1,10.0,self-propelled mortar,3.0
Germany,Lithuania,2015.0,1,22.0,APC,3.0
France,Lithuania,2022.0,1,0.0,self-propelled gun,5.0
Switzerland,Luxembourg,2022.0,1,0.0,APV,3.0
United States,Luxembourg,1996.0,1,24.0,APV,3.0
France,Luxembourg,2022.0,1,0.0,anti-tank missile,5.0
Spain,Luxembourg,2003.0,1,1.0,transport aircraft,3.0
Germany,Luxembourg,2018.0,2,2.0,light helicopter,2.0
Germany,Luxembourg,2003.0,1,4.0,turboprop,2.0
France,Madagascar,1996.0,1,1.0,cargo craft,2.0
France,Madagascar,1968.0,1,1.0,light helicopter,2.0
Germany,Malawi,1989.0,1,1.0,light transport aircraft,2.0
Germany,Malawi,1979.0,1,4.0,light transport aircraft,2.0
France,Malawi,1984.0,1,1.0,helicopter,3.0
Germany,Malawi,1985.0,2,3.0,light transport aircraft,2.0
Turkiye,Malaysia,2023.0,1,0.0,anti-tank missile,5.0
UAE,Malaysia,2017.0,1,9.0,APC,3.0
Germany,Malaysia,1997.0,1,8.0,ship engine,2.0
Germany,Malaysia,1995.0,1,8.0,ship engine,2.0
Canada,Malaysia,2023.0,1,0.0,aircraft engine,2.0
South Korea,Malaysia,2011.0,2,2.0,OPV/training ship,2.0
United States,Malaysia,2000.0,3,12.0,ship engine,2.0
United States,Malaysia,2021.0,1,0.0,air search radar,3.0
Sweden,Malaysia,2013.0,1,0.0,naval gun,3.0
United States,Malaysia,1995.0,1,5.0,transport aircraft,3.0
France,Malaysia,2002.0,1,1.0,submarine,8.0
France,Malaysia,2018.0,2,18.0,towed gun,3.0
Netherlands,Malaysia,2014.0,1,0.0,air search radar,3.0
South Korea,Malaysia,2023.0,1,0.0,FGA aircraft,8.0
France,Malaysia,1970.0,2,4.0,FAC,3.0
United States,Malaysia,2016.0,1,6.0,combat helicopter,5.0
Australia,Malaysia,1969.0,1,10.0,fighter aircraft,8.0
United States,Malaysia,1974.0,1,12.0,light transport aircraft,2.0
China,Malaysia,2017.0,3,4.0,OPV,2.0
United States,Malaysia,1979.0,1,3.0,transport aircraft,3.0
Singapore,Malaysia,1978.0,1,7.0,light helicopter,2.0
United States,Malaysia,1999.0,2,12.0,aircraft engine,2.0
United States,Malaysia,1995.0,1,12.0,aircraft engine,2.0
Canada,Malaysia,2006.0,1,10.0,aircraft engine,2.0
Switzerland,Malaysia,2006.0,1,10.0,trainer aircraft,2.0
Germany,Malaysia,1997.0,1,2.0,ASW sonar,3.0
Germany,Malaysia,1995.0,1,2.0,ASW sonar,3.0
Germany,Malaysia,1992.0,1,8.0,ship engine,2.0
Brazil,Malaysia,2007.0,1,18.0,self-propelled MRL,5.0
United States,Malaysia,1990.0,2,18.0,combat aircraft radar,3.0
United Kingdom,Malaysia,1958.0,1,1.0,light transport aircraft,2.0
Italy,Malaysia,2001.0,1,1.0,air search radar,3.0
Sweden,Malaysia,1999.0,1,2.0,artillery locating radar,3.0
Italy,Malaysia,2006.0,1,8.0,trainer/combat aircraft,5.0
Italy,Malaysia,1997.0,1,2.0,corvette,5.0
Italy,Malaysia,1995.0,1,2.0,corvette,5.0
United States,Malaysia,1994.0,1,1.0,landing ship,5.0
United Kingdom,Malaysia,1993.0,1,3.0,towed gun,3.0
South Korea,Malaysia,1994.0,1,22.0,APC,3.0
United States,Malaysia,1994.0,1,25.0,anti-ship missile,8.0
Netherlands,Malaysia,1966.0,1,1.0,air search radar,3.0
United Kingdom,Malaysia,1965.0,1,1.0,landing ship,5.0
Netherlands,Malaysia,1966.0,1,1.0,fire control radar,3.0
Netherlands,Malaysia,1981.0,1,2.0,fire control radar,3.0
Netherlands,Malaysia,1992.0,1,2.0,air search radar,3.0
Netherlands,Malaysia,1981.0,1,2.0,air search radar,3.0
Sweden,Malaysia,1992.0,1,2.0,air search radar,3.0
United Kingdom,Malaysia,1988.0,1,6.0,ASW helicopter,5.0
United Kingdom,Malaysia,1988.0,1,9.0,towed gun,3.0
United Kingdom,Malaysia,1987.0,1,6.0,ASW helicopter,5.0
United States,Malaysia,1982.0,1,1.0,air search radar,3.0
United States,Malaysia,1985.0,1,2.0,maritime patrol aircraft,3.0
United Kingdom,Malaysia,1966.0,1,1.0,frigate,5.0
United States,Malaysia,1980.0,1,1.0,FGA aircraft,8.0
United States,Malaysia,1974.0,1,2.0,landing ship,5.0
Germany,Malaysia,1981.0,1,1.0,support ship,2.0
United Kingdom,Malaysia,1971.0,1,15.0,trainer aircraft,2.0
New Zealand,Malaysia,1964.0,1,2.0,light transport aircraft,2.0
United States,Malaysia,1972.0,1,2.0,FGA aircraft,8.0
United States,Malaysia,1971.0,1,6.0,transport helicopter,3.0
United Kingdom,Malaysia,1958.0,1,3.0,light transport aircraft,2.0
United States,Malaysia,1967.0,1,10.0,transport helicopter,3.0
France,Malaysia,1968.0,1,5.0,light helicopter,2.0
United Kingdom,Malaysia,1982.0,1,26.0,light tank,5.0
Italy,Malaysia,1981.0,1,4.0,MCM ship,3.0
Germany,Malaysia,1981.0,1,2.0,frigate,5.0
Germany,Malaysia,1979.0,1,1.0,support ship,2.0
United States,Malaysia,1975.0,1,5.0,light helicopter,2.0
Sweden,Malaysia,1976.0,1,4.0,FAC,3.0
Netherlands,Malaysia,2009.0,2,2.0,EO search/fire control,3.0
Turkiye,Malaysia,2008.0,1,20.0,APC,3.0
Turkiye,Malaysia,2008.0,1,28.0,IFV,5.0
United States,Malaysia,1981.0,1,4.0,naval gun,3.0
United Kingdom,Malaysia,1963.0,1,4.0,patrol craft,2.0
United Kingdom,Malaysia,1965.0,3,14.0,patrol craft,2.0
United Kingdom,Malaysia,1961.0,2,6.0,patrol craft,2.0
Germany,Malaysia,2002.0,1,8.0,ship engine,2.0
United Kingdom,Malaysia,1964.0,1,4.0,FAC,3.0
Switzerland,Malaysia,2007.0,1,3.0,fire control radar,3.0
France,Malaysia,2008.0,1,1.0,air search radar,3.0
Turkiye,Malaysia,2023.0,1,0.0,UAV,3.0
Indonesia,Malaysia,1995.0,1,6.0,transport aircraft,3.0
Spain,Malaysia,2005.0,3,4.0,transport aircraft,3.0
Netherlands,Malaysia,1983.0,2,2.0,air search radar,3.0
Russia,Malaysia,1994.0,1,18.0,FGA aircraft,8.0
Israel,Malaysia,2023.0,1,0.0,combat aircraft radar,3.0
United States,Malaysia,1991.0,1,4.0,maritime patrol aircraft,3.0
Germany,Malaysia,1973.0,2,6.0,patrol craft,2.0
United Kingdom,Malaysia,1990.0,2,18.0,FGA aircraft,8.0
United Kingdom,Malaysia,1990.0,1,10.0,trainer/combat aircraft,5.0
Canada,Malaysia,1965.0,1,4.0,transport aircraft,3.0
United Kingdom,Malaysia,2006.0,1,8.0,turbojet,2.0
Poland,Malaysia,2003.0,1,3.0,AEV,2.0
Russia,Malaysia,2003.0,3,18.0,FGA aircraft,8.0
Poland,Malaysia,2003.0,4,48.0,tank,8.0
South Korea,Malaysia,1995.0,1,47.0,APC,3.0
United States,Malaysia,1993.0,1,8.0,FGA aircraft,8.0
United Kingdom,Malaysia,1992.0,1,2.0,frigate,5.0
Sweden,Malaysia,1981.0,1,2.0,naval gun,3.0
Sweden,Malaysia,1979.0,1,1.0,naval gun,3.0
United Kingdom,Malaysia,1982.0,1,13.0,APC,3.0
United States,Malaysia,1974.0,1,6.0,transport aircraft,3.0
France,Malaysia,2014.0,1,0.0,frigate,5.0
Spain,Malaysia,2002.0,1,1.0,submarine,8.0
Germany,Malaysia,1970.0,2,16.0,ship engine,2.0
United States,Malaysia,2015.0,1,10.0,BVRAAM,8.0
United States,Malaysia,1980.0,1,2.0,FGA aircraft,8.0
Germany,Malaysia,1999.0,3,6.0,OPV,2.0
Italy,Malaysia,2023.0,1,0.0,ASW aircraft,5.0
United Kingdom,Malaysia,1982.0,1,12.0,IFV,5.0
United Kingdom,Malaysia,1999.0,2,6.0,ASW Helicopter,5.0
United States,Malaysia,2023.0,1,0.0,transport helicopter,3.0
India,Maldives,2009.0,1,1.0,helicopter,3.0
India,Maldives,2018.0,1,1.0,helicopter,3.0
India,Maldives,2006.0,1,1.0,patrol craft,2.0
Sri Lanka,Maldives,1997.0,1,2.0,patrol craft,2.0
India,Maldives,2020.0,1,1.0,maritime patrol aircraft,3.0
Russia,Mali,2020.0,1,4.0,transport helicopter,3.0
France,Mali,2019.0,1,13.0,APC/APV,3.0
Spain,Mali,2020.0,1,1.0,transport aircraft,3.0
Russia,Mali,2020.0,1,1.0,ground attack aircraft,8.0
Russia,Mali,2016.0,3,4.0,combat helicopter,5.0
Czechia,Mali,2005.0,1,3.0,fighter aircraft,8.0
France,Mali,1961.0,1,2.0,transport aircraft,3.0
France,Mali,1961.0,1,2.0,light aircraft,2.0
Brazil,Mali,2015.0,1,4.0,trainer/combat aircraft,5.0
France,Mali,2016.0,2,2.0,transport helicopter,3.0
Libya,Mali,2010.0,1,2.0,trainer aircraft,2.0
Qatar,Mali,2018.0,1,24.0,APC,3.0
Canada,Mali,2020.0,1,2.0,aircraft engine,2.0
Canada,Mali,2016.0,1,2.0,aircraft engine,2.0
Spain,Mali,2016.0,1,1.0,transport aircraft,3.0
Bulgaria,Mali,2008.0,1,2.0,combat helicopter,5.0
UAE,Mali,2019.0,1,30.0,APV,3.0
United States,Malta,2001.0,2,2.0,patrol craft,2.0
United Kingdom,Malta,2001.0,1,1.0,trainer aircraft,2.0
United Kingdom,Malta,1998.0,1,1.0,light transport aircraft,2.0
Germany,Malta,1997.0,1,1.0,minesweeper,2.0
Malaysia,Malta,1994.0,1,1.0,light transport aircraft,2.0
Italy,Malta,1991.0,1,5.0,light aircraft,2.0
Germany,Malta,1992.0,1,2.0,minesweeper,2.0
Italy,Malta,2013.0,1,1.0,helicopter,3.0
Italy,Malta,2004.0,1,1.0,patrol craft,2.0
Germany,Malta,1972.0,1,3.0,light helicopter,2.0
Germany,Malta,1972.0,1,1.0,light helicopter,2.0
Libya,Malta,1973.0,1,1.0,light helicopter,2.0
Ireland,Malta,2015.0,1,1.0,OPV,2.0
Italy,Malta,2018.0,1,1.0,OPV,2.0
United States,Malta,2009.0,1,1.0,maritime patrol aircraft,3.0
United States,Malta,2015.0,1,1.0,maritime patrol aircraft,3.0
Italy,Malta,2014.0,1,1.0,helicopter,3.0
Italy,Malta,2015.0,1,1.0,helicopter,3.0
Italy,Malta,1992.0,1,2.0,light helicopter,2.0
Australia,Marshall Islands,1989.0,1,1.0,patrol craft,2.0
United States,Marshall Islands,1987.0,1,1.0,patrol craft,2.0
Australia,Marshall Islands,2014.0,1,0.0,patrol craft,2.0
France,Mauritania,2019.0,1,7.0,APC/APV,3.0
Germany,Mauritania,1998.0,1,1.0,OPV,2.0
Spain,Mauritania,1979.0,1,1.0,patrol craft,2.0
Niger,Mauritania,1973.0,1,2.0,light aircraft,2.0
United Kingdom,Mauritania,1989.0,1,1.0,OPV,2.0
Germany,Mauritania,1990.0,1,1.0,patrol craft,2.0
France,Mauritania,1982.0,1,1.0,patrol craft,2.0
Spain,Mauritania,1976.0,1,2.0,patrol craft,2.0
Canada,Mauritania,1977.0,2,2.0,transport aircraft,3.0
Italy,Mauritania,2013.0,1,2.0,light helicopter,2.0
France,Mauritania,1992.0,1,1.0,patrol craft,2.0
Switzerland,Mauritania,2011.0,1,1.0,light transport aircraft,2.0
France,Mauritania,1971.0,1,1.0,transport aircraft,3.0
China,Mauritania,2016.0,1,1.0,landing ship,5.0
Spain,Mauritania,2010.0,1,1.0,maritime patrol aircraft,3.0
United States,Mauritania,2014.0,1,2.0,light transport aircraft,2.0
India,Mauritius,1989.0,1,1.0,maritime patrol aircraft,3.0
India,Mauritius,2014.0,1,1.0,maritime patrol aircraft,3.0
India,Mauritius,2011.0,1,1.0,OPV,2.0
India,Mauritius,2021.0,1,1.0,helicopter,3.0
India,Mauritius,2021.0,1,1.0,light transport aircraft,2.0
India,Mauritius,1993.0,1,1.0,patrol craft,2.0
United Kingdom,Mauritius,1992.0,1,1.0,maritime patrol aircraft,3.0
United Kingdom,Mauritius,1970.0,1,4.0,APV,3.0
Israel,Mauritius,2004.0,1,1.0,MP aircraft radar,3.0
Israel,Mauritius,2014.0,1,1.0,MP aircraft radar,3.0
India,Mauritius,2014.0,2,2.0,patrol craft,2.0
India,Mauritius,2021.0,1,1.0,light transport aircraft,2.0
Chile,Mauritius,1994.0,1,1.0,OPV,2.0
China,Mexico,2006.0,1,13.0,towed gun,3.0
Switzerland,Mexico,2006.0,1,2.0,trainer aircraft,2.0
United States,Mexico,2010.0,3,6.0,MP aircraft radar,3.0
United States,Mexico,2003.0,1,4.0,air search radar,3.0
United States,Mexico,1982.0,1,1.0,patrol craft,2.0
United States,Mexico,2008.0,1,4.0,aircraft engine,2.0
United States,Mexico,2008.0,1,2.0,MP aircraft radar,3.0
Sweden,Mexico,2014.0,4,4.0,naval gun,3.0
United States,Mexico,1963.0,1,1.0,tug,1.0
United States,Mexico,2001.0,1,6.0,turbofan,2.0
United States,Mexico,1978.0,1,4.0,tug,1.0
Israel,Mexico,2004.0,1,4.0,transport helicopter,3.0
France,Mexico,2003.0,1,2.0,helicopter,3.0
Russia,Mexico,2002.0,1,30.0,portable SAM,3.0
Israel,Mexico,2002.0,1,3.0,AEW&C aircraft,8.0
Sweden,Mexico,2001.0,1,1.0,AEW radar,3.0
United States,Mexico,2000.0,1,1.0,light helicopter,2.0
United States,Mexico,2000.0,1,2.0,light helicopter,2.0
Canada,Mexico,2000.0,1,1.0,transport aircraft,3.0
Russia,Mexico,2000.0,1,1.0,transport helicopter,3.0
Brazil,Mexico,2001.0,1,2.0,maritime patrol aircraft,3.0
Russia,Mexico,1999.0,1,1.0,transport helicopter,3.0
United States,Mexico,1999.0,1,1.0,support ship,2.0
United States,Mexico,1996.0,1,1.0,support ship,2.0
United States,Mexico,1996.0,1,1.0,support craft,2.0
United States,Mexico,1998.0,1,1.0,frigate,5.0
United States,Mexico,1994.0,1,12.0,light helicopter,2.0
United States,Mexico,2001.0,1,2.0,MP aircraft radar,3.0
United States,Mexico,1996.0,1,2.0,frigate,5.0
Switzerland,Mexico,1985.0,1,7.0,light transport aircraft,2.0
United States,Mexico,2000.0,2,2.0,landing ship,5.0
France,Mexico,1985.0,1,2.0,APC,3.0
France,Mexico,1986.0,1,37.0,APC,3.0
United States,Mexico,1993.0,1,2.0,frigate,5.0
United States,Mexico,1991.0,1,2.0,transport helicopter,3.0
France,Mexico,1981.0,1,20.0,trainer aircraft,2.0
United States,Mexico,1992.0,1,10.0,light helicopter,2.0
United States,Mexico,1990.0,2,3.0,patrol craft,2.0
United States,Mexico,1990.0,1,4.0,light helicopter,2.0
United States,Mexico,1988.0,1,1.0,air search radar,3.0
France,Mexico,1985.0,1,80.0,armoured car,3.0
Germany,Mexico,1986.0,1,6.0,light helicopter,2.0
United States,Mexico,1962.0,1,15.0,OPV,2.0
United States,Mexico,1971.0,3,3.0,landing ship,5.0
United States,Mexico,1969.0,1,2.0,frigate/landing ship,5.0
United States,Mexico,1985.0,1,21.0,light aircraft,2.0
United States,Mexico,1974.0,2,20.0,light aircraft,2.0
United Kingdom,Mexico,1962.0,1,2.0,trainer aircraft,2.0
Netherlands,Mexico,1972.0,1,3.0,trainer aircraft,2.0
United States,Mexico,1962.0,1,4.0,light helicopter,2.0
United States,Mexico,1961.0,1,15.0,trainer aircraft,2.0
United States,Mexico,1965.0,1,5.0,transport aircraft,3.0
United States,Mexico,1969.0,1,20.0,light aircraft,2.0
United States,Mexico,1981.0,1,12.0,FGA aircraft,8.0
United States,Mexico,1982.0,1,2.0,destroyer,8.0
United States,Mexico,1966.0,1,4.0,transport aircraft,3.0
Russia,Mexico,2011.0,1,3.0,transport helicopter,3.0
Czechia,Mexico,2001.0,1,10.0,trainer aircraft,2.0
United States,Mexico,2000.0,1,1.0,light helicopter,2.0
France,Mexico,2011.0,1,3.0,transport helicopter,3.0
Russia,Mexico,2009.0,1,1.0,transport helicopter,3.0
Italy,Mexico,1994.0,1,1.0,naval gun,3.0
Spain,Mexico,2011.0,1,1.0,transport aircraft,3.0
Spain,Mexico,2010.0,1,2.0,transport aircraft,3.0
Canada,Mexico,2008.0,1,4.0,aircraft engine,2.0
United States,Mexico,2009.0,1,5.0,helicopter,3.0
France,Mexico,2009.0,2,6.0,transport helicopter,3.0
Israel,Mexico,2008.0,1,2.0,UAV,3.0
Spain,Mexico,2008.0,1,2.0,transport aircraft,3.0
Spain,Mexico,2008.0,1,2.0,maritime patrol aircraft,3.0
United States,Mexico,1996.0,1,4.0,transport aircraft,3.0
Netherlands,Mexico,2011.0,1,2.0,patrol craft,2.0
United States,Mexico,2010.0,1,3.0,transport helicopter,3.0
Netherlands,Mexico,2013.0,2,3.0,patrol craft,2.0
United States,Mexico,2014.0,1,2.0,trainer aircraft,2.0
United States,Mexico,2015.0,2,3.0,transport aircraft,3.0
Spain,Mexico,2014.0,1,2.0,transport aircraft,3.0
United Kingdom,Mexico,1973.0,7,31.0,patrol craft,2.0
United States,Mexico,2008.0,1,1.0,light transport aircraft,2.0
United States,Mexico,1973.0,1,1.0,light transport aircraft,2.0
Canada,Mexico,2006.0,1,2.0,aircraft engine,2.0
United States,Mexico,2014.0,1,2.0,light transport aircraft,2.0
Canada,Mexico,2010.0,1,4.0,aircraft engine,2.0
Spain,Mexico,2009.0,2,5.0,transport aircraft,3.0
Canada,Mexico,2014.0,1,1.0,light transport aircraft,2.0
Netherlands,Mexico,2014.0,1,1.0,transport ship,2.0
Germany,Mexico,2014.0,1,25.0,trainer aircraft,2.0
Colombia,Mexico,2002.0,1,2.0,transport helicopter,3.0
Russia,Mexico,1997.0,1,8.0,transport helicopter,3.0
France,Mexico,2014.0,2,10.0,helicopter,3.0
Sweden,Mexico,1998.0,4,8.0,naval gun,3.0
United States,Mexico,2010.0,1,3.0,transport helicopter,3.0
Canada,Mexico,2011.0,1,2.0,aircraft engine,2.0
United States,Mexico,1996.0,1,53.0,helicopter,3.0
France,Mexico,1981.0,1,2.0,APC,3.0
France,Mexico,1986.0,1,5.0,APC,3.0
France,Mexico,1985.0,1,2.0,APC,3.0
United States,Mexico,2008.0,1,4.0,aircraft engine,2.0
Netherlands,Mexico,2014.0,3,5.0,patrol craft,2.0
Brazil,Mexico,2001.0,1,1.0,AEW&C aircraft,8.0
Israel,Mexico,2003.0,1,2.0,FAC,3.0
Spain,Mexico,1980.0,2,6.0,OPV,2.0
Canada,Mexico,2009.0,2,10.0,aircraft engine,2.0
Australia,Micronesia,2014.0,2,2.0,patrol craft,2.0
Australia,Micronesia,1997.0,1,1.0,patrol craft,2.0
Australia,Micronesia,1989.0,1,2.0,patrol craft,2.0
United States,Micronesia,1989.0,2,2.0,patrol craft,2.0
France,Moldova,2023.0,1,1.0,air search radar,3.0
Germany,Moldova,2022.0,1,19.0,APC,3.0
Russia,Mongolia,2007.0,1,2.0,transport helicopter,3.0
Russia,Mongolia,2009.0,1,20.0,APC,3.0
Israel,Montenegro,2023.0,1,0.0,mortar,2.0
United States,Montenegro,2020.0,2,2.0,light helicopter,2.0
United States,Montenegro,2018.0,1,3.0,helicopter,3.0
Germany,Montenegro,2021.0,1,0.0,APC,3.0
France,Morocco,2008.0,1,1.0,OPV,2.0
France,Morocco,2008.0,2,6.0,ship engine,2.0
Sweden,Morocco,1977.0,1,1.0,ASW MRL,3.0
United States,Morocco,1977.0,1,1.0,ASW sonar,3.0
France,Morocco,1997.0,1,52.0,anti-tank missile,5.0
United States,Morocco,1996.0,1,60.0,self-propelled gun,5.0
United States,Morocco,1997.0,1,2.0,AA gun,3.0
France,Morocco,1995.0,1,1.0,support ship,2.0
France,Morocco,1996.0,1,1.0,OPV,2.0
France,Morocco,1994.0,2,2.0,OPV,2.0
United States,Morocco,1993.0,1,120.0,tank,8.0
United States,Morocco,1994.0,1,120.0,tank,8.0
France,Morocco,1993.0,2,2.0,OPV,2.0
Netherlands,Morocco,1977.0,1,1.0,air search radar,3.0
United States,Morocco,1991.0,1,60.0,tank,8.0
Denmark,Morocco,1989.0,1,2.0,patrol craft,2.0
Spain,Morocco,1985.0,2,6.0,patrol craft,2.0
France,Morocco,1963.0,1,1.0,landing craft,3.0
France,Morocco,1964.0,1,1.0,patrol craft,2.0
United States,Morocco,1963.0,1,1.0,patrol craft,2.0
Italy,Morocco,1981.0,1,3.0,transport helicopter,3.0
France,Morocco,1956.0,1,6.0,light aircraft,2.0
Spain,Morocco,1977.0,2,4.0,FAC,3.0
France,Morocco,1975.0,2,3.0,landing ship,5.0
Spain,Morocco,1977.0,1,1.0,frigate,5.0
France,Morocco,1973.0,2,2.0,patrol craft,2.0
United States,Morocco,1975.0,1,12.0,trainer aircraft,2.0
Switzerland,Morocco,1977.0,1,10.0,trainer aircraft,2.0
France,Morocco,1977.0,1,5.0,FGA aircraft,8.0
Netherlands,Morocco,2008.0,1,1.0,frigate,5.0
United States,Morocco,2008.0,1,1.0,gas turbine,2.0
Spain,Morocco,1989.0,1,7.0,transport aircraft,3.0
United States,Morocco,1980.0,1,2.0,tanker/transport aircraft,3.0
United States,Morocco,1980.0,1,5.0,transport aircraft,3.0
France,Morocco,2008.0,2,3.0,ASW sonar,3.0
Italy,Morocco,2008.0,1,1.0,fire control radar,3.0
Netherlands,Morocco,2008.0,2,2.0,frigate,5.0
United States,Morocco,2009.0,2,24.0,trainer aircraft,2.0
United States,Morocco,1994.0,1,1.0,landing ship,5.0
United States,Morocco,1971.0,1,1.0,transport aircraft,3.0
France,Morocco,1956.0,1,1.0,light helicopter,2.0
France,Morocco,1956.0,1,1.0,light transport aircraft,2.0
France,Morocco,1956.0,1,1.0,light aircraft,2.0
Soviet Union,Morocco,1960.0,1,12.0,fighter aircraft,8.0
Italy,Morocco,1977.0,1,1.0,naval SAM system,5.0
United States,Morocco,2016.0,1,55.0,ARV,2.0
United States,Morocco,2020.0,1,0.0,combat helicopter,5.0
United States,Morocco,2016.0,1,2.0,light transport aircraft,2.0
France,Morocco,2015.0,1,1.0,landing craft,3.0
France,Morocco,1964.0,1,1.0,frigate,5.0
France,Morocco,1974.0,1,1.0,minesweeper,2.0
France,Morocco,2008.0,1,1.0,frigate,5.0
France,Morocco,2013.0,2,2.0,surveillance satellite,8.0
Germany,Morocco,2008.0,1,4.0,ship engine,2.0
France,Morocco,1961.0,1,1.0,corvette,5.0
Denmark,Morocco,1986.0,2,2.0,patrol craft,2.0
Spain,Morocco,2021.0,1,0.0,OPV,2.0
United States,Morocco,2016.0,2,489.0,APC,3.0
Israel,Morocco,2021.0,1,0.0,UAV,3.0
East Germany (GDR),Mozambique,1980.0,1,12.0,fighter aircraft,8.0
Spain,Mozambique,2011.0,1,1.0,patrol craft,2.0
Portugal,Mozambique,2010.0,2,2.0,light aircraft,2.0
Portugal,Mozambique,1975.0,1,4.0,light transport aircraft,2.0
Portugal,Mozambique,1975.0,1,1.0,minesweeper,2.0
Portugal,Mozambique,1975.0,1,7.0,light helicopter,2.0
Portugal,Mozambique,1975.0,1,1.0,landing craft,3.0
Portugal,Mozambique,1975.0,1,5.0,transport aircraft,3.0
France,Mozambique,2013.0,1,3.0,patrol craft,2.0
Soviet Union,Mozambique,1977.0,1,2.0,transport aircraft,3.0
United Kingdom,Mozambique,2013.0,1,40.0,APC,3.0
United Kingdom,Mozambique,2013.0,1,25.0,APC,3.0
South Africa,Mozambique,2021.0,1,1.0,transport aircraft,3.0
United States,Myanmar,1977.0,2,5.0,transport aircraft,3.0
United Kingdom,Myanmar,1953.0,1,20.0,fighter aircraft,8.0
China,Myanmar,1992.0,1,1.0,fire control radar,3.0
China,Myanmar,1994.0,3,6.0,FAC,3.0
Switzerland,Myanmar,1985.0,1,4.0,trainer aircraft,2.0
United States,Myanmar,1957.0,1,6.0,light transport aircraft,2.0
Israel,Myanmar,1954.0,2,29.0,fighter aircraft,8.0
Switzerland,Myanmar,1979.0,2,8.0,trainer aircraft,2.0
Switzerland,Myanmar,1977.0,1,8.0,trainer aircraft,2.0
United States,Myanmar,1977.0,1,1.0,helicopter,3.0
Yugoslavia,Myanmar,1990.0,1,3.0,patrol craft,2.0
France,Myanmar,1955.0,1,1.0,transport aircraft,3.0
Denmark,Myanmar,1994.0,1,1.0,transport aircraft,3.0
India,Myanmar,2013.0,2,3.0,air search radar,3.0
China,Myanmar,1990.0,2,10.0,patrol craft,2.0
China,Myanmar,2015.0,1,2.0,transport aircraft,3.0
Denmark,Myanmar,2013.0,1,1.0,transport aircraft,3.0
United States,Myanmar,1962.0,2,12.0,trainer aircraft,2.0
China,Myanmar,2011.0,1,2.0,frigate,5.0
Denmark,Myanmar,1978.0,2,3.0,patrol craft,2.0
Viet Nam,Myanmar,2018.0,1,2.0,transport aircraft,3.0
Russia,Myanmar,1995.0,1,7.0,transport helicopter,3.0
Russia,Myanmar,2018.0,2,4.0,FGA aircraft,8.0
Italy,Namibia,2002.0,1,1.0,helicopter,3.0
India,Namibia,1994.0,1,2.0,light helicopter,2.0
India,Namibia,1994.0,1,2.0,light helicopter,2.0
United States,Namibia,2010.0,1,2.0,ship engine,2.0
China,Namibia,2010.0,1,1.0,OPV,2.0
Brazil,Namibia,2003.0,1,1.0,OPV/tug,1.0
China,Namibia,2009.0,1,2.0,helicopter,3.0
India,Namibia,2009.0,1,2.0,light helicopter,2.0
India,Namibia,2009.0,1,1.0,light helicopter,2.0
South Africa,Namibia,1998.0,1,24.0,towed gun,3.0
China,Namibia,2014.0,1,2.0,patrol craft,2.0
